KOI,A,DEC,RSTAR,TSTAR,KMAG,TPLANET,T0,UT0,PER,RA,UPER,RPLANET,MSTAR,ROW
1.01,0.036,49.3164,1.06,5814,11.338,1394.0,55.76257,1e-05,2.4706132,19.12056,1e-07,14.42,1.14,0
2.01,0.039,47.9695,2.71,6264,10.463,2303.0,54.3578,2e-05,2.2047354,19.48315,1e-07,22.29,1.36,1
3.01,0.052,48.0809,0.74,4766,9.147,794.0,57.81254,4e-05,4.8878003,19.84729,6e-07,4.67,0.71,2
4.01,0.056,38.9474,2.6,6391,11.432,1923.0,90.52592,0.00037,3.8493724,19.62377,4.4e-06,11.79,1.11,3
5.01,0.058,44.6474,1.42,5861,11.665,1279.0,65.97325,0.00022,4.7803287,19.31598,3e-06,5.65,1.14,4
5.02,0.075,44.6474,1.42,5861,11.665,1124.0,66.3669,0.01456,7.0518564,19.31598,0.0002848,0.66,1.14,5
7.01,0.044,50.1358,1.27,5858,12.211,1386.0,56.61154,0.00041,3.2136641,19.04102,4.2e-06,3.72,1.08,6
10.01,0.047,42.4511,1.56,6025,13.563,1532.0,54.1186,7e-05,3.5224991,18.75254,7e-07,15.88,1.12,7
12.01,0.144,41.011,1.38,6419,11.353,876.0,79.59692,0.00021,17.8551488,19.83025,1e-05,13.23,1.17,8
13.01,0.037,46.8684,2.68,8848,9.958,3320.0,53.56513,1e-05,1.7635877,19.13141,1e-06,22.77,1.83,9
17.01,0.045,48.2399,1.08,5826,13.0,1260.0,54.4858,4e-05,3.2346996,19.78915,4e-07,11.06,0.91,10
18.01,0.052,44.0351,2.02,6297,13.369,1733.0,55.90078,7e-05,3.5484657,19.96047,7e-07,17.37,0.95,11
20.01,0.056,50.0404,1.38,6011,13.438,1314.0,104.00836,4e-05,4.4379629,19.0829,6e-07,17.58,1.09,12
22.01,0.081,46.3234,1.11,5972,13.435,976.0,110.24904,7e-05,7.8914502,18.84198,1.6e-06,11.26,1.07,13
41.01,0.111,41.9903,1.23,5909,11.0,869.0,55.95061,0.0016,12.8157354,19.42573,5.26e-05,2.08,1.11,14
41.02,0.073,41.9903,1.23,5909,11.0,1071.0,66.1758,0.00321,6.8870994,19.42573,6.17e-05,1.23,1.11,15
41.03,0.218,41.9903,1.23,5909,11.0,620.0,86.98394,0.00667,35.3331429,19.42573,0.0006257,1.4,1.11,16
42.01,0.141,45.1398,1.36,6170,9.364,845.0,114.22232,0.00058,17.8343811,18.87671,3.1e-05,2.71,1.14,17
44.01,0.313,45.0896,0.91,5490,13.483,412.0,93.47431,0.0004,66.467694,20.01012,7.58e-05,9.88,0.85,18
46.01,0.047,48.3552,1.1,5764,13.77,1233.0,103.93149,0.00037,3.4876878,18.8837,4.2e-06,4.32,1.12,19
46.02,0.067,48.3552,1.1,5764,13.77,1032.0,65.51465,0.01139,6.0290779,18.8837,0.0001918,0.96,1.12,20
49.01,0.083,46.1648,1.04,5923,13.704,926.0,108.99176,0.00089,8.3137595,19.48327,2.16e-05,3.24,0.97,21
51.01,0.072,41.3324,0.45,3240,13.761,358.0,66.93494,0.00036,10.4311627,19.72792,8.9e-06,20.93,0.21,22
63.01,0.089,49.5482,0.99,5721,11.582,843.0,110.84231,0.0002,9.4341577,19.28175,5.6e-06,6.3,1.05,23
64.01,0.03,42.5474,1.17,5439,13.143,1497.0,90.54077,0.00052,1.9510914,19.76737,4e-06,5.12,1.19,24
69.01,0.053,38.6724,0.87,5593,9.931,1000.0,67.92507,0.00038,4.7267482,19.42789,5.2e-06,1.5,1.04,25
70.01,0.093,42.3387,0.94,5443,12.498,763.0,71.60748,0.00044,10.8540913,19.17987,1.27e-05,3.09,0.9,26
70.02,0.045,42.3387,0.94,5443,12.498,1097.0,67.50026,0.00061,3.6961222,19.17987,6.8e-06,1.92,0.9,27
70.03,0.344,42.3387,0.94,5443,12.498,397.0,97.7263,0.00158,77.6119948,19.17987,0.0003139,2.78,0.9,28
70.04,0.063,42.3387,0.94,5443,12.498,927.0,68.93378,0.00364,6.0984945,19.17987,6.3e-05,0.91,0.9,29
70.05,0.137,42.3387,0.94,5443,12.498,629.0,68.20094,0.00566,19.5778928,19.17987,0.000298,1.02,0.9,30
72.01,0.017,50.2413,1.0,5627,10.961,1903.0,64.57439,0.00026,0.8374903,19.04529,1.5e-06,1.38,1.03,31
72.02,0.241,50.2413,1.0,5627,10.961,505.0,71.67813,0.0014,45.2940362,19.04529,0.0001958,2.19,1.03,32
113.01,0.888,37.6716,1.47,5500,12.394,269.0,99.34905,0.0041,-387.0,19.48492,,90.5,1.04,68
75.01,0.47,42.7285,2.06,5925,10.775,547.0,89.96994,0.00115,105.8853078,19.43315,0.0003294,8.83,1.08,33
82.01,0.116,47.208,0.74,4908,11.492,545.0,67.75366,0.00051,16.1456735,18.76552,2.15e-05,2.45,0.8,34
82.02,0.086,47.208,0.74,4908,11.492,634.0,67.07943,0.00134,10.3117522,18.76552,3.82e-05,1.29,0.8,35
82.03,0.165,47.208,0.74,4908,11.492,457.0,78.02472,0.00357,27.4537815,18.76552,0.0002738,1.03,0.8,36
82.04,0.067,47.208,0.74,4908,11.492,718.0,72.99056,0.0035,7.0713053,18.76552,6.95e-05,0.7,0.8,37
82.05,0.055,47.208,0.74,4908,11.492,792.0,68.84573,0.00568,5.2870294,18.76552,8.52e-05,0.52,0.8,38
84.01,0.084,37.8518,0.86,5541,11.898,781.0,68.992,0.00054,9.2870093,19.36139,1.34e-05,2.53,0.98,39
85.01,0.068,41.1512,1.2,6172,11.018,1142.0,65.03952,0.00068,5.8599332,19.24591,1.1e-05,2.35,1.19,40
85.02,0.035,41.1512,1.2,6172,11.018,1592.0,66.49626,0.0011,2.1549189,19.24591,8.3e-06,1.27,1.19,41
85.03,0.084,41.1512,1.2,6172,11.018,1028.0,70.99533,0.00225,8.1311464,19.24591,5.07e-05,1.41,1.19,42
87.01,0.805,47.8845,0.85,5510,11.664,250.0,66.6984,0.00233,289.8621882,19.28117,0.0018278,2.1,1.07,43
89.01,0.472,43.8143,2.6,7490,11.642,775.0,83.5651,0.00297,84.6889499,19.98808,0.0006911,4.87,1.45,44
89.02,0.857,43.8143,2.6,7490,11.642,575.0,222.86875,0.00265,207.6034857,19.98808,0.0021931,6.47,1.45,45
92.01,0.327,43.7882,1.04,5952,11.667,469.0,70.44254,0.00156,65.7046188,18.89165,0.0002718,3.32,1.11,46
94.01,0.165,41.8911,1.24,6217,12.205,751.0,65.74047,0.00019,22.3430011,19.8222,1.1e-05,9.25,1.2,47
94.02,0.099,41.8911,1.24,6217,12.205,970.0,71.00718,0.00093,10.4237073,19.8222,2.64e-05,3.43,1.2,48
94.03,0.298,41.8911,1.24,6217,12.205,559.0,94.23998,0.00079,54.3199311,19.8222,0.0001243,5.48,1.2,49
94.04,0.05,41.8911,1.24,6217,12.205,1364.0,64.6139,0.00288,3.7432452,19.8222,3.13e-05,1.41,1.2,50
97.01,0.061,41.0898,1.78,5934,12.885,1413.0,67.27608,6e-05,4.8854892,19.23877,9e-07,16.05,1.12,51
98.01,0.078,47.3331,1.63,6395,12.128,1290.0,71.08734,0.00019,6.7901235,19.18059,3.6e-06,9.97,1.31,52
99.01,1.693,44.5311,0.7,4992,12.96,177.0,73.04527,0.0019,-580.0,19.69562,12.0,3.4,0.97,53
100.01,0.11,39.1995,3.18,6630,12.598,1573.0,74.15129,0.00125,9.9664392,19.41186,3.22e-05,15.46,1.39,54
102.01,0.029,44.4358,1.08,5838,12.566,1571.0,68.05914,0.00025,1.7351363,19.98032,1.2e-06,3.7,1.24,55
103.01,0.115,37.7516,0.96,5531,12.593,703.0,74.34015,0.00088,14.9107447,19.44556,3.48e-05,2.97,1.0,56
104.01,0.034,47.4971,0.76,4786,12.895,996.0,67.9997,0.00017,2.5080585,18.74632,1.6e-06,3.36,0.71,57
105.01,0.08,44.8579,0.96,5649,12.87,861.0,69.64871,0.00053,8.9810082,19.92914,1.31e-05,3.35,1.19,58
107.01,0.077,48.9824,1.27,5919,12.702,1062.0,67.02111,0.00099,7.2569987,19.65568,1.94e-05,3.09,1.08,59
108.01,0.13,40.0645,1.21,5975,12.287,805.0,75.1763,0.00111,15.9653489,19.26564,4.71e-05,2.94,1.15,60
108.02,0.654,40.0645,1.21,5975,12.287,359.0,228.33037,0.00169,179.6010436,19.26564,0.0012346,4.45,1.15,61
110.01,0.095,46.0638,1.17,6344,12.663,982.0,68.21471,0.0008,9.9406782,18.97038,2.15e-05,2.92,1.14,62
111.01,0.092,42.1668,0.93,5711,12.596,801.0,70.61387,0.00118,11.427512,19.17364,3.61e-05,2.14,0.81,63
111.02,0.15,42.1668,0.93,5711,12.596,627.0,65.71291,0.00186,23.668344,19.17364,0.0001166,2.05,0.81,64
111.03,0.253,42.1668,0.93,5711,12.596,483.0,204.08318,0.00214,51.756266,19.17364,0.0003615,2.36,0.81,65
112.01,0.273,48.4956,0.99,5853,12.772,492.0,118.17954,0.00142,51.0793064,19.70991,0.0002064,2.86,1.11,66
112.02,0.047,48.4956,0.99,5853,12.772,1185.0,66.9857,0.00222,3.7091908,19.70991,2.5e-05,1.2,1.11,67
115.01,0.063,46.2762,1.33,6202,12.791,1258.0,66.14237,0.00056,5.4122014,19.19249,8.6e-06,3.33,1.13,69
115.02,0.076,46.2762,1.33,6202,12.791,1146.0,72.00315,0.00202,7.1259674,19.19249,4.01e-05,1.88,1.13,70
115.03,0.046,46.2762,1.33,6202,12.791,1473.0,65.65736,0.01114,3.4358442,19.19249,0.0001197,0.63,1.13,71
116.01,0.111,44.3376,1.04,5865,12.882,791.0,69.27992,0.00164,13.5707271,20.0576,5.87e-05,2.58,1.0,72
116.02,0.244,44.3376,1.04,5865,12.882,533.0,84.93488,0.00264,43.8443762,20.0576,0.0003344,2.68,1.0,73
116.03,0.066,44.3376,1.04,5865,12.882,1025.0,68.63562,0.00874,6.1648897,20.0576,0.0001524,0.87,1.0,74
117.01,0.125,48.2086,1.18,5949,12.487,807.0,71.77877,0.00178,14.7491024,19.80188,7.56e-05,2.93,1.07,75
117.02,0.06,48.2086,1.18,5949,12.487,1165.0,71.60392,0.00258,4.9014671,19.80188,3.93e-05,1.7,1.07,76
117.03,0.045,48.2086,1.18,5949,12.487,1345.0,66.5041,0.00234,3.1799621,19.80188,2.53e-05,1.58,1.07,77
117.04,0.083,48.2086,1.18,5949,12.487,991.0,70.8159,0.00709,7.9579164,19.80188,0.0001697,1.07,1.07,78
118.01,0.151,38.6496,0.78,5605,12.377,562.0,71.68,0.00279,24.9933412,19.15752,0.0001928,1.41,1.05,79
119.01,0.251,46.0623,0.92,5380,12.654,454.0,74.90956,0.00092,49.1843056,19.63728,0.0001295,3.76,0.87,80
119.02,0.618,46.0623,0.92,5380,12.654,289.0,245.68117,0.00255,190.3134142,19.63728,0.0019894,3.3,0.87,81
122.01,0.102,44.398,1.09,5714,12.346,823.0,64.96866,0.00092,11.5230629,18.9655,2.77e-05,2.78,1.03,82
123.01,0.069,40.2849,1.43,5871,12.365,1181.0,55.97369,0.00101,6.4816738,19.35951,1.78e-05,2.64,1.11,83
123.02,0.153,40.2849,1.43,5871,12.365,793.0,70.57375,0.00166,21.2225344,19.35951,9.32e-05,2.71,1.11,84
124.01,0.109,48.6028,1.58,5899,12.935,990.0,70.1212,0.00311,12.6911459,19.52861,0.0001066,3.0,1.14,85
124.02,0.2,48.6028,1.58,5899,12.935,731.0,75.81904,0.00379,31.7198687,19.52861,0.0003235,3.58,1.14,86
127.01,0.047,44.3454,1.04,5731,13.938,1189.0,67.02941,5e-05,3.5787827,19.3072,5e-07,10.92,1.04,87
128.01,0.059,49.1401,1.09,5786,13.758,1097.0,69.329,7e-05,4.9427833,19.74671,9e-07,11.95,1.13,88
131.01,0.062,43.4976,1.21,6244,13.797,1216.0,66.17363,0.00014,5.0142325,19.93984,2.1e-06,9.61,1.13,89
135.01,0.044,46.6683,1.2,6082,13.958,1402.0,65.41593,7e-05,3.0240949,19.01606,6e-07,10.55,1.08,90
